id,gender,Category,baseColour,season,season2,usage,productDisplayName
1163,Men,Topwear,Blue,Summer,,Sports,Nike Sahara Team India Fanwear Round Neck Jersey
1164,Men,Topwear,Blue,Winter,,Sports,Nike Men Blue T20 Indian Cricket Jersey
1542,Men,Footwear,White,Autumn,,Sports,Puma Men's Ballistic Rubber Shoe
1543,Men,Footwear,Black,Autumn,,Casual,Puma Men Basket-Biz Sneaker
1544,Men,Footwear,White,Autumn,,Casual,Puma Men's Basket Bump Sneaker
1545,Men,Footwear,White,Autumn,,Casual,Puma Men's Speed Cat Shoe
1546,Men,Footwear,White,Autumn,,Casual,Puma Men's Furore White Shoe
1547,Men,Footwear,Black,Autumn,,Casual,Puma Men's Ducati Sneaker
1548,Men,Footwear,White,Autumn,,Sports,Puma Men's Cell Exsis Sneaker
1549,Men,Footwear,White,Autumn,,Sports,Puma Men's Jiyu Slip On Sneaker
1571,Men,Footwear,White,Autumn,,Sports,Kalenji Men's Super Soft Sports Shoes
1587,Men,Footwear,White,Spring,,Sports,Kipsta Men Superfit Football White Shoe
1590,Men,Footwear,Black,Autumn,,Sports,Kipsta Men's F300 Football Shoe
1591,Men,Bottomwear,Red,Autumn,,Sports,Kipsta Men Red Shorts
1592,Men,Footwear,Red,Summer,,Sports,Kipsta Men's Superfit Football Red Shoe
1594,Unisex,Footwear,Grey,Autumn,,Casual,Newfeel Unisex Grey Mesh Lightweight Shoe
1618,Men,Footwear,White,Summer,,Sports,Reebok Men United Runner White
1634,Men,Footwear,White,Autumn,,Sports,Inesis Water Repellent Canaveral Shoes
1635,Unisex,Footwear,Red,Spring,,Casual,Newfeel Unisex Red Comfy Shoes
1636,Men,Footwear,White,Autumn,,Sports,Nike Men Air Zoom Century Shoes
1637,Men,Footwear,White,Autumn,,Sports,Nike Men White Cricket Shoes
1641,Men,Footwear,Silver,Autumn,,Sports,Reebok Men's Hex Run Pure Silver Shoe
1642,Men,Footwear,White,Autumn,,Sports,Reebok Men Winning Stride White Red
1644,Men,Topwear,Red,Autumn,,Sports,Kipsta Men Loose Fit Round Neck Jersey Red
1645,Men,Topwear,Black,Autumn,,Sports,Kipsta Men Loose Fit Round Neck Jersey Black
1649,Unisex,Footwear,Blue,Spring,,Casual,Newfeel Unisex Comfy Cool Blue Shoe
1653,Men,Footwear,Brown,Summer,,Sports,Reebok Men's Ventilator Ubiq Shoe
1654,Men,Footwear,White,Autumn,,Sports,Reebok Men's Frisker LP Shoe
1657,Men,Footwear,White,Autumn,,Sports,Reebok Men's White High Wire Shoe
1658,Men,Topwear,Blue,Autumn,,Sports,Nike Men Windrunner Blue Jacket
1727,Unisex,Footwear,Black,Winter,,Casual,Newfeel Unisex Black Lightweight Shoes
1728,Unisex,Footwear,Green,Autumn,,Sports,Newfeel Unisex Green Sports Shoes
1729,Unisex,Footwear,White,Spring,,Casual,Newfeel Unisex White Shoes
1730,Women,Footwear,Black,Autumn,Spring,Sports,Reebok Women Black Pink Frisker Shoe
1731,Women,Footwear,White,Autumn,Spring,Sports,Reebok Women White Blue Frisker Shoes
1782,Men,Footwear,Black,Autumn,,Sports,Kalenji Men's Kapteren Black Shoe
1783,Men,Footwear,Grey,Spring,,Sports,Quechua Men Grey Sandal
1784,Men,Footwear,White,Autumn,,Sports,Lotto Men's Melbourne White-Red Shoe
1785,Men,Footwear,White,Autumn,,Sports,Lotto Men Brighton White-Blue Shoe
1786,Men,Footwear,White,Autumn,,Sports,Lotto Men's Court Logo White Shoe
1787,Men,Footwear,White,Autumn,,Sports,Lotto Men Court Logo White-Silver Shoe
1788,Men,Footwear,White,Autumn,,Sports,Lotto Men's Court-White-Blue Shoe
1789,Men,Footwear,Orange,Autumn,,Sports,Lotto Men OSLO Grey-Orange Shoe
1802,Men,Footwear,Brown,Spring,,Sports,Quechua Men's Arpenaz Flex Yellow Shoe
1805,Men,Footwear,Beige,Autumn,,Casual,Quechua Men Forclaz 1OO Beige Shoe
1806,Men,Footwear,Brown,Spring,,Casual,Quechua Men Arpenaz Brown Sandal
1827,Men,Footwear,White,Autumn,,Sports,Nike Men's Downshifter White/Blue Shoe
1828,Men,Footwear,White,Autumn,,Sports,Nike Men's Air Afterburner Shoe
1831,Men,Footwear,Black,Autumn,,Sports,Nike Men's Air Impetus Shoe
1832,Men,Footwear,Black,Autumn,,Sports,Nike Lunarswift Shoe
1833,Men,Footwear,Black,Autumn,,Sports,Nike Men's Ballista Shoe
1836,Men,Footwear,Silver,Autumn,,Sports,Nike Air Visi Sleek Shoes
1841,Men,Footwear,White,Autumn,,Sports,Puma Men's Calibre Convertible Spike Shoe
1842,Men,Footwear,White,Autumn,,Sports,Puma Men's Calibre Rubber Shoe
1907,Men,Topwear,Black,Autumn,,Sports,Nike Mens Classic Black T-shirt
1909,Men,Topwear,Blue,Autumn,,Sports,Nike Mens Classic Sportswear T-shirt
1910,Men,Topwear,Black,Autumn,,Sports,Nike Men's Classic Patterned T-shirt
1911,Men,Topwear,Blue,Autumn,,Sports,Nike Mens Manchester United Blues T-shirt
1912,Men,Topwear,White,Autumn,,Sports,Nike Mens Running White T-shirt
1913,Men,Topwear,Black,Autumn,,Sports,Nike Mens Seize Victory Black T-shirt
1916,Men,Footwear,Black,Autumn,,Sports,Puma Men's Game Point Shoes
1917,Men,Footwear,White,Autumn,,Casual,Puma Men White Sneakers
1919,Men,Footwear,Brown,Autumn,,Casual,Puma Men's Choco Brown Casual Shoes
1920,Men,Footwear,Black,Autumn,,Casual,Puma Men Graffiti FX Shoes
1923,Women,Footwear,White,Autumn,Spring,Sports,Kalenji Women Running Shoe
1929,Men,Footwear,Black,Autumn,,Sports,Quechua Men's Lighweight Black Shoe
1932,Women,Footwear,Grey,Autumn,Spring,Casual,Quechua Women Arpenaz Flex Grey Shoe
1937,Women,Footwear,Black,Autumn,Spring,Sports,Kalenji Women Black Pink Shoe
