id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Sahara Team India Fanwear Round Neck Jersey
1164,Men,Apparel,Topwear,Tshirts,Blue,Winter,2015,Sports,Nike Men Blue T20 Indian Cricket Jersey
1542,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Puma Men's Ballistic Rubber Shoe
1543,Men,Footwear,Shoes,Casual Shoes,Black,Autumn,2010,Casual,Puma Men Basket-Biz Sneaker
1544,Men,Footwear,Shoes,Casual Shoes,White,Autumn,2010,Casual,Puma Men's Basket Bump Sneaker
1545,Men,Footwear,Shoes,Casual Shoes,White,Autumn,2010,Casual,Puma Men's Speed Cat Shoe
1546,Men,Footwear,Shoes,Casual Shoes,White,Autumn,2010,Casual,Puma Men's Furore White Shoe
1547,Men,Footwear,Shoes,Casual Shoes,Black,Autumn,2010,Casual,Puma Men's Ducati Sneaker
1548,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Puma Men's Cell Exsis Sneaker
1549,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Puma Men's Jiyu Slip On Sneaker
1571,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Kalenji Men's Super Soft Sports Shoes
1587,Men,Footwear,Shoes,Sports Shoes,White,Spring,2010,Sports,Kipsta Men Superfit Football White Shoe
1590,Men,Footwear,Shoes,Sports Shoes,Black,Autumn,2010,Sports,Kipsta Men's F300 Football Shoe
1591,Men,Apparel,Bottomwear,Shorts,Red,Autumn,2010,Sports,Kipsta Men Red Shorts
1592,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2011,Sports,Kipsta Men's Superfit Football Red Shoe
1594,Unisex,Footwear,Shoes,Casual Shoes,Grey,Autumn,2012,Casual,Newfeel Unisex Grey Mesh Lightweight Shoe
1618,Men,Footwear,Shoes,Sports Shoes,White,Summer,2010,Sports,Reebok Men United Runner White
1634,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Inesis Water Repellent Canaveral Shoes
1635,Unisex,Footwear,Shoes,Casual Shoes,Red,Spring,2011,Casual,Newfeel Unisex Red Comfy Shoes
1636,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Nike Men Air Zoom Century Shoes
1637,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Nike Men White Cricket Shoes
1641,Men,Footwear,Shoes,Sports Shoes,Silver,Autumn,2010,Sports,Reebok Men's Hex Run Pure Silver Shoe
1642,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Reebok Men Winning Stride White Red
1644,Men,Apparel,Topwear,Tshirts,Red,Autumn,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Red
1645,Men,Apparel,Topwear,Tshirts,Black,Autumn,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Black
1649,Unisex,Footwear,Shoes,Casual Shoes,Blue,Spring,2012,Casual,Newfeel Unisex Comfy Cool Blue Shoe
1653,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2010,Sports,Reebok Men's Ventilator Ubiq Shoe
1654,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Reebok Men's Frisker LP Shoe
1657,Men,Footwear,Shoes,Sports Shoes,White,Autumn,2010,Sports,Reebok Men's White High Wire Shoe
1658,Men,Apparel,Topwear,Jackets,Blue,Autumn,2012,Sports,Nike Men Windrunner Blue Jacket
1727,Unisex,Footwear,Shoes,Casual Shoes,Black,Winter,2015,Casual,Newfeel Unisex Black Lightweight Shoes
1728,Unisex,Footwear,Shoes,Sports Shoes,Green,Autumn,2010,Sports,Newfeel Unisex Green Sports Shoes
1729,Unisex,Footwear,Shoes,Casual Shoes,White,Spring,2011,Casual,Newfeel Unisex White Shoes
